Timestamp	Name	Mouse type	Computer type
10/04/2016 16:44:38	Niki	Mouse	Mac

Timestamp	Which was more difficult to use?	Which was more satisfying to use?	Which was more efficient to use?	Which was more frustrating to use?
10/04/2016 16:44:38	Control	Ephemeral	Ephemeral	Control

E Questionnaire
Timestamp	Difficulty	Satisfaction	Efficiency	Frustration
10/04/2016 16:26:06	4	4	4	4

C Questionnaire
Timestamp	Difficulty	Satisfaction	Efficiency	Frustration
10/04/2016 16:44:29	4	4	4	4

Trial #	Control	Ephemeral
1	1040	1192
2	2152	384
3	1359	1047
4	785	1872
5	1225	1552
6	1321	760
7	2217	1543
8	1545	656
9	921	1599
10	1480	1912
11	1865	1744
12	1776	976
13	1081	2289
14	1777	928
15	951	511
16	792	1488
17	1410	937
18	801	728
19	552	1032
20	1840	697
21	1440	4024
22	680	1129
23	649	1104
24	1552	1368
25	881	1016
26	1025	727
27	593	808
28	2184	1152
29	1024	2151
30	922	800
31	1287	1015
32	1305	1656
33	824	5288
34	1376	776
35	1801	1618
36	1337	760
37	999	1944
38	945	2000
39	1072	783
40	968	927
41	1831	561
42	1889	2609
43	1023	1056
44	2312	1296
45	1570	1273
46	735	1250
47	1081	832
48	1288	1064
49	991	1055
50	1271	576
51	1713	776
52	1032	1146
53	1289	832
54	2911	1449
55	1512	1753
56	1608	824
57	1160	1433
58	896	2753
59	678	920
60	2192	537
61	1023	1344
62	1160	625
63	1111	823
64	791	1240
65	2305	2034
66	842	736
67	920	929
68	1327	944
69	440	528
70	1728	1687
71	1608	632
72	1841	904
73	943	2864
74	816	1080
75	1944	1151
76	1703	728
77	1104	1177
78	1495	1608
79	1009	640
80	974	761
81	1544	864
82	927	896
83	2024	1040
84	1904	1488
85	1952	1464
86	1080	769
87	1743	1040
88	776	1992
89	1000	809
90	1049	4635
91	712	886
92	792	1919
93	1090	1048
94	919	1496
95	1792	696
96	1880	768
97	1519	3000
98	1673	2713
99	1303	1104
100	1224	1695
101	1904	1120
102	1432	744
103	665	1705
104	3752	1416
105	1160	1457
106	1558	1225
107	729	1672
108	1040	799
109	873	1272
110	766	2728
111	2144	1864
112	1406	1128
113	930	953
114	1336	1039
115	936	354
116	1329	2864
117	3897	2449
118	1707	1032
119	824	417
120	1512	1274
121	1665	608
122	1544	2353
123	1082	1634
124	768	1096
125	1313	1769
126	2289	1464
1	2008	1504
2	1145	2248
3	792	1649
4	1504	936
5	1601	1537
6	1656	2816
7	944	1536
8	1320	839
9	1832	1744
10	2633	872
11	4514	775
12	1728	1216
13	936	1256
14	1833	1369
15	1521	1104
16	2096	904
17	2185	2361
18	1041	848
19	936	776
20	1272	840
21	1929	1089
22	1472	1753
23	1040	1001
24	752	888
25	1340	2224
26	1072	1048
27	1616	1761
28	2510	881
29	1208	1503
30	2218	999
31	1218	784
32	3225	1271
33	1568	728
34	1681	2745
35	2224	816
36	1744	713
37	1457	1081
38	1344	817
39	1593	1073
40	1744	937
41	1785	905
42	1304	744
43	833	840
44	1177	1255
45	818	991
46	785	2039
47	968	2737
48	1457	1200
49	1790	1729
50	1465	2561
51	1689	1209
52	1650	711
53	1096	906
54	744	976
55	937	1360
56	1280	895
57	798	1000
58	919	1623
59	680	2040
60	976	1232
61	815	735
62	969	2048
63	2040	1304
64	1134	1024
65	1808	888
66	1041	824
67	2272	713
68	1800	1632
69	1496	1065
70	1560	1264
71	815	2145
72	2031	1376
73	974	1015
74	2095	1273
75	872	1281
76	952	1854
77	1969	1056
78	913	1792
79	2129	664
80	1153	1462
81	776	785
82	968	960
83	920	1161
84	983	1048
85	1009	1008
86	1560	792
87	2003	1240
88	1552	697
89	1520	776
90	1497	712
91	1287	904
92	521	807
93	1279	952
94	1207	912
95	1400	1279
96	1623	992
97	1543	984
98	1342	927
99	1247	784
100	1360	608
101	953	832
102	896	904
103	2576	1240
104	1489	2064
105	1320	1472
106	1593	744
107	2551	864
108	1319	1673
109	1281	1863
110	1423	745
111	1270	829
112	608	583
113	1720	1480
114	688	1887
115	1720	2296
116	840	1303
117	761	1568
118	1320	833
119	1586	1200
120	951	960
121	1193	1745
122	512	2249
123	737	847
124	697	1153
125	839	1665
126	1520	1000
